id,title,brand,price,rating,description,category,image
1,"Samsung Galaxy M05 (Mint Green, 4GB RAM, 64 GB Storage) | 50MP Dual Camera | Bigger 6.7"" HD+ Display | 5000mAh Battery | 25W Fast Charging | 2 Gen OS Upgrade & 4 Year Security Update | Without Charger",Samsung,"6,249",4,"Captivating viewing experience on bigger 6.7"" Display with HD+ resolution (720*1600 Pixels) | 20:9 Aspect Ratio",Mobile,
2,Apple Macbook Retina Display 12,Apple,"50,499",5,"Embodying the raw, wayward spirit of rock ‘n’ roll, the Kilburn portable active stereo speaker takes the unmistakable look and sound of Marshall, unplugs the chords, and takes the show on the road.",Laptop,
3,"OnePlus Nord CE4 Lite 5G (Super Silver, 8GB RAM, 128GB Storage) | Lifetime Display Warranty | 5500 mAh Battery, 80W SUPERVOOC and Reverse Charging | 50MP Camera with OIS | 120Hz AMOLED Display",OnePlus,"17,599",4.1,"5500 mAh Battery & Reverse Charging: Ditch the power bank and press play all day with Nord CE4 Lite’s gigantic 5,500 mAh battery. You’ll even have enough juice to charge up your buddy’s phone with reverse wired charging",Mobile,
4,"HP 15, 13th Gen Intel Core i5-1335U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics, FHD Camera w/privacy shutter, fd0577TU",HP,"56,990",3.5,"Processor, Memory & Storage: Intel Core i5-1334U (up to 4.6 GHz with Intel Turbo Boost Technology, 12 MB L3 cache, 10 cores, 12 threads)| Memory: 16 GB DDR4-3200 MT/s (2x 8 GB)| Storage: 512 GB PCIe Gen4 NVMe M.2 SSD",Laptop,
5,TAGDO Men's Regular Fit Casual Shirt (5171),TAGDO,499,4,"Discover the epitome of effortless style with the Tagdo Men's Casual Shirt, now available on Amazon. Crafted with meticulous attention to detail, this shirt embodies sophistication and comfort in equal measure. Our premium quality fabric ensures unparalleled comfort and durability, making it the perfect choice for any occasion. Whether you're heading out for a casual outing with friends or enjoying a relaxed day at the office, the Tagdo Men's Casual Shirt effortlessly elevates your look.",Shirt,
6,"Noise Halo Plus 1.46"" Super AMOLED Display Elite Smart Watch, Bluetooth Calling, Stainless Steel Build, Always on Display, Upto 7 Days Battery (Elite Black)",Noise,"4,500",4.2,"1.46 inches (3.7cms) AMOLED display, 466*466px, Always on display - Yes - Enjoy clear and immersive visuals on its round AMOLED display.",Watch,
7,Symbol Premium Men's Cotton Stretch Jeans (Regular Fit),Special,"1,499",3.7,PREMIUM INDIGO FABRIC: Made from 98% cotton and 2% elastane for comfort stretch,Jeans,
8,JVX Jeans for Men || MenJeans || Reguler FitJeans for Men || StylishJeans || Jeans (NJJ-08),JVX,"1,899",4,"Fit: These jeans for men are designed with a trendy jeans for man style, offering a relaxed and fashionable look, perfect for casual outings or laid-back weekends.",Jeans,
9,"Nikon Z50 Mirrorless Camera, 20.9 MP with Z DX 16-50Mm F/3.5-6.3 VR & Z DX 50-250Mm F/4.5-6.3 VR Lens with Additional Battery & 64 GB SD Card",Nikon,"89,99",4.3,20.9MP DX-Format CMOS Sensor and EXPEED 6 Image Processor,Camera,
10,"Sony Alpha ILCE 6100 24.2 MP Mirrorless Digital SLR Camera Body only | APS-C Sensor | Fast Auto Focus, Real-time Eye AF, Real-time Tracking | 4K Vlogging Camera - Black",Sony,"52,899",4,"APS-C size, 24.2-megapixel ExmorTM CMOS sensor",Camera,
11,,,,,,,
